FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION CONDUCTA,CANTIDAD
10/31/2023 12:00:00 AM,19,CAUCA,19698,SANTANDER DE QUILICHAO,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/01/2023 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/07/2023 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/09/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/11/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/14/2023 12:00:00 AM,66,RISARALDA,66001,PEREIRA,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/20/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/22/2023 12:00:00 AM,63,QUINDIO,63401,LA TEBAIDA,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/22/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/22/2023 12:00:00 AM,15,BOYACA,15001,TUNJA,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/25/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/25/2023 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/25/2023 12:00:00 AM,18,CAQUETA,18001,FLORENCIA,ARTICULO 188 A.- TRATA DE PERSONAS,2
11/25/2023 12:00:00 AM,18,CAQUETA,18001,FLORENCIA,ARTICULO 188 A.- TRATA DE PERSONAS,1
11/30/2023 12:00:00 AM,54,NORTE DE SANTANDER,54810,TIBU,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/02/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/09/2023 12:00:00 AM,47,MAGDALENA,47189,CIENAGA,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/12/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/12/2023 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/17/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/21/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/25/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/26/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/27/2023 12:00:00 AM,76,VALLE DEL CAUCA,76275,FLORIDA,ARTICULO 188 A.- TRATA DE PERSONAS,1
12/31/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/03/2024 12:00:00 AM,05,ANTIOQUIA,05088,BELLO,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/03/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/06/2024 12:00:00 AM,66,RISARALDA,66001,PEREIRA,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/07/2024 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/09/2024 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/10/2024 12:00:00 AM,15,BOYACA,15759,SOGAMOSO,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/10/2024 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/12/2024 12:00:00 AM,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,ARTICULO 188 A.- TRATA DE PERSONAS,1
"01/17/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
"01/19/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
01/19/2024 12:00:00 AM,85,CASANARE,85250,PAZ DE ARIPORO,ARTICULO 188 A.- TRATA DE PERSONAS,1
"01/22/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
01/24/2024 12:00:00 AM,68,SANTANDER,68276,FLORIDABLANCA,ARTICULO 188. TRAFICO DE MIGRANTES,1
01/26/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/30/2024 12:00:00 AM,15,BOYACA,15001,TUNJA,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/30/2024 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
01/30/2024 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
02/03/2024 12:00:00 AM,54,NORTE DE SANTANDER,54810,TIBU,ARTICULO 188 A.- TRATA DE PERSONAS,1
02/06/2024 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188. TRAFICO DE MIGRANTES,1
02/07/2024 12:00:00 AM,13,BOLIVAR,13670,SAN PABLO,ARTICULO 188 A.- TRATA DE PERSONAS,1
"02/08/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
"02/09/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
02/09/2024 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,ARTICULO 188 A.- TRATA DE PERSONAS,1
"02/13/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
02/16/2024 12:00:00 AM,15,BOYACA,15001,TUNJA,ARTICULO 188 A.- TRATA DE PERSONAS,1
02/16/2024 12:00:00 AM,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,ARTICULO 188 A.- TRATA DE PERSONAS,1
02/20/2024 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,ARTICULO 188 A.- TRATA DE PERSONAS,1
"02/22/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
02/22/2024 12:00:00 AM,52,NARIÑO,52001,PASTO,ARTICULO 188 A.- TRATA DE PERSONAS,1
"02/29/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
03/01/2024 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/02/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/08/2024 12:00:00 AM,52,NARIÑO,52001,PASTO,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/08/2024 12:00:00 AM,52,NARIÑO,52001,PASTO,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/10/2024 12:00:00 AM,50,META,50001,VILLAVICENCIO,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/11/2024 12:00:00 AM,54,NORTE DE SANTANDER,54673,SAN CAYETANO,ARTICULO 188 A.- TRATA DE PERSONAS,1
"03/14/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
03/15/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/17/2024 12:00:00 AM,52,NARIÑO,52001,PASTO,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/18/2024 12:00:00 AM,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,ARTICULO 188 A.- TRATA DE PERSONAS,1
"03/20/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
"03/23/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
03/28/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/30/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/01/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/01/2024 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/01/2024 12:00:00 AM,73,TOLIMA,73408,LERIDA,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/03/2024 12:00:00 AM,50,META,50001,VILLAVICENCIO,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/06/2024 12:00:00 AM,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/09/2024 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/09/2024 12:00:00 AM,18,CAQUETA,18001,FLORENCIA,ARTICULO 188 A.- TRATA DE PERSONAS,1
"04/10/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
"04/10/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
04/10/2024 12:00:00 AM,54,NORTE DE SANTANDER,54405,LOS PATIOS,ARTICULO 188 A.- TRATA DE PERSONAS,1
"04/11/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
04/17/2024 12:00:00 AM,15,BOYACA,15176,CHIQUINQUIRA,ARTICULO 188 A.- TRATA DE PERSONAS,1
"04/18/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
"04/18/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
04/18/2024 12:00:00 AM,52,NARIÑO,52001,PASTO,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/19/2024 12:00:00 AM,20,CESAR,20001,VALLEDUPAR,ARTICULO 188 A.- TRATA DE PERSONAS,1
"04/23/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,2"
04/24/2024 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,ARTICULO 188 A.- TRATA DE PERSONAS,1
04/28/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 B.- TRATA DE PERSONAS CIRCUNSTANCIAS DE AGRAVACION PUNITIVA.,1
"04/29/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,2"
04/30/2024 12:00:00 AM,47,MAGDALENA,47001,SANTA MARTA,ARTICULO 188 A.- TRATA DE PERSONAS,2
"05/01/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
05/02/2024 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,ARTICULO 188 A.- TRATA DE PERSONAS,1
05/04/2024 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
05/04/2024 12:00:00 AM,66,RISARALDA,66001,PEREIRA,ARTICULO 188 A.- TRATA DE PERSONAS,1
"05/06/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
05/07/2024 12:00:00 AM,97,VAUPES,97001,MITU,ARTICULO 188 A.- TRATA DE PERSONAS,1
05/08/2024 12:00:00 AM,20,CESAR,20011,AGUACHICA,ARTICULO 188 A.- TRATA DE PERSONAS,1
"05/10/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
05/10/2024 12:00:00 AM,27,CHOCO,27372,JURADO,ARTICULO 188. TRAFICO DE MIGRANTES,1
05/10/2024 12:00:00 AM,27,CHOCO,27372,JURADO,ARTICULO 188. TRAFICO DE MIGRANTES,1
05/10/2024 12:00:00 AM,27,CHOCO,27372,JURADO,ARTICULO 188. TRAFICO DE MIGRANTES,1
"05/14/2024 12:00:00 AM,11,BOGOTA D.C.,11001,""BOGOTA, D.C."",ARTICULO 188 A.- TRATA DE PERSONAS,1"
